,team_abbrv,team_name,box_score_data,box_score_id,season,home_team,home_team_innings_data,home_team_other_data,away_team,away_team_innings_data,away_team_other_data,team_side,result,blown_leads
0,SEA_2012,Seattle Mariners,"{'home_team': {'team_name': 'Oakland Athletics', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '3', '8': '1', '9': 'X'}, 'other_box_score_data': {'runs': '4', 'hits': '7', 'errors': '0'}}, 'away_team': {'team_name': 'Seattle Mariners', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '1', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '3', 'errors': '0'}}}",SEA20120329,2012,Oakland Athletics,"['0', '0', '0', '0', '0', '0', '3', '1', 'X']","{'runs': '4', 'hits': '7', 'errors': '0'}",Seattle Mariners,"['0', '0', '0', '0', '0', '0', '1', '0', '0']","{'runs': '1', 'hits': '3', 'errors': '0'}",away,0.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,SFG_2012,San Francisco Giants,"{'home_team': {'team_name': 'Arizona Diamondbacks', 'inning_data': {'1': '3', '2': '0', '3': '0', '4': '0', '5': '0', '6': '2', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '5', 'hits': '7', 'errors': '0'}}, 'away_team': {'team_name': 'San Francisco Giants', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '2', '6': '1', '7': '0', '8': '0', '9': '1'}, 'other_box_score_data': {'runs': '4', 'hits': '11', 'errors': '3'}}}",SFG20120406,2012,Arizona Diamondbacks,"['3', '0', '0', '0', '0', '2', '0', '0', 'X']","{'runs': '5', 'hits': '7', 'errors': '0'}",San Francisco Giants,"['0', '0', '0', '0', '2', '1', '0', '0', '1']","{'runs': '4', 'hits': '11', 'errors': '3'}",away,0.0,0.0
0,SFG_2012,San Francisco Giants,"{'home_team': {'team_name': 'Arizona Diamondbacks', 'inning_data': {'1': '2', '2': '2', '3': '0', '4': '0', '5': '1', '6': '0', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '5', 'hits': '10', 'errors': '0'}}, 'away_team': {'team_name': 'San Francisco Giants', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '2', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '6', 'errors': '0'}}}",SFG20120407,2012,Arizona Diamondbacks,"['2', '2', '0', '0', '1', '0', '0', '0', 'X']","{'runs': '5', 'hits': '10', 'errors': '0'}",San Francisco Giants,"['0', '0', '0', '2', '0', '0', '2', '0', '0']","{'runs': '4', 'hits': '6', 'errors': '0'}",away,0.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,STL_2012,St. Louis Cardinals,"{'home_team': {'team_name': 'Miami Marlins', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '4', 'errors': '0'}}, 'away_team': {'team_name': 'St. Louis Cardinals', 'inning_data': {'1': '2', '2': '1', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '1', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '13', 'errors': '0'}}}",STL20120404,2012,Miami Marlins,"['0', '0', '0', '0', '0', '0', '0', '1', '0']","{'runs': '1', 'hits': '4', 'errors': '0'}",St. Louis Cardinals,"['2', '1', '0', '0', '0', '0', '0', '1', '0']","{'runs': '4', 'hits': '13', 'errors': '0'}",away,1.0,0.0
0,STL_2012,St. Louis Cardinals,"{'home_team': {'team_name': 'Milwaukee Brewers', 'inning_data': {'1': '2', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '3'}, 'other_box_score_data': {'runs': '5', 'hits': '10', 'errors': '1'}}, 'away_team': {'team_name': 'St. Louis Cardinals', 'inning_data': {'1': '0', '2': '1', '3': '4', '4': '1', '5': '0', '6': '1', '7': '1', '8': '0', '9': '3'}, 'other_box_score_data': {'runs': '11', 'hits': '16', 'errors': '0'}}}",STL20120406,2012,Milwaukee Brewers,"['2', '0', '0', '0', '0', '0', '0', '0', '3']","{'runs': '5', 'hits': '10', 'errors': '1'}",St. Louis Cardinals,"['0', '1', '4', '1', '0', '1', '1', '0', '3']","{'runs': '11', 'hits': '16', 'errors': '0'}",away,0.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,TBR_2012,Tampa Bay Rays,"{'home_team': {'team_name': 'Tampa Bay Rays', 'inning_data': {'1': '4', '2': '0', '3': '1', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '2'}, 'other_box_score_data': {'runs': '7', 'hits': '12', 'errors': '1'}}, 'away_team': {'team_name': 'New York Yankees', 'inning_data': {'1': '0', '2': '2', '3': '4', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '6', 'hits': '9', 'errors': '0'}}}",TBR20120406,2012,Tampa Bay Rays,"['4', '0', '1', '0', '0', '0', '0', '0', '2']","{'runs': '7', 'hits': '12', 'errors': '1'}",New York Yankees,"['0', '2', '4', '0', '0', '0', '0', '0', '0']","{'runs': '6', 'hits': '9', 'errors': '0'}",home,1.0,1.0
0,TBR_2012,Tampa Bay Rays,"{'home_team': {'team_name': 'Tampa Bay Rays', 'inning_data': {'1': '2', '2': '1', '3': '1', '4': '0', '5': '0', '6': '2', '7': '2', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '8', 'hits': '10', 'errors': '1'}}, 'away_team': {'team_name': 'New York Yankees', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '0', '8': '0', '9': '4'}, 'other_box_score_data': {'runs': '6', 'hits': '9', 'errors': '1'}}}",TBR20120407,2012,Tampa Bay Rays,"['2', '1', '1', '0', '0', '2', '2', '0', 'X']","{'runs': '8', 'hits': '10', 'errors': '1'}",New York Yankees,"['0', '0', '0', '2', '0', '0', '0', '0', '4']","{'runs': '6', 'hits': '9', 'errors': '1'}",home,1.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,TEX_2012,Texas Rangers,"{'home_team': {'team_name': 'Texas Rangers', 'inning_data': {'1': '1', '2': '0', '3': '1', '4': '0', '5': '0', '6': '1', '7': '0', '8': '0', '9': 'X'}, 'other_box_score_data': {'runs': '3', 'hits': '6', 'errors': '0'}}, 'away_team': {'team_name': 'Chicago White Sox', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '2', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '2', 'hits': '8', 'errors': '1'}}}",TEX20120406,2012,Texas Rangers,"['1', '0', '1', '0', '0', '1', '0', '0', 'X']","{'runs': '3', 'hits': '6', 'errors': '0'}",Chicago White Sox,"['0', '0', '0', '0', '0', '2', '0', '0', '0']","{'runs': '2', 'hits': '8', 'errors': '1'}",home,1.0,0.0
0,TEX_2012,Texas Rangers,"{'home_team': {'team_name': 'Texas Rangers', 'inning_data': {'1': '0', '2': '1', '3': '2', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '3', 'hits': '10', 'errors': '2'}}, 'away_team': {'team_name': 'Chicago White Sox', 'inning_data': {'1': '1', '2': '0', '3': '2', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '1'}, 'other_box_score_data': {'runs': '4', 'hits': '5', 'errors': '0'}}}",TEX20120407,2012,Texas Rangers,"['0', '1', '2', '0', '0', '0', '0', '0', '0']","{'runs': '3', 'hits': '10', 'errors': '2'}",Chicago White Sox,"['1', '0', '2', '0', '0', '0', '0', '0', '1']","{'runs': '4', 'hits': '5', 'errors': '0'}",home,0.0,0.0
